M1;EURUSD-OTC;11:17;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;11:19;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;11:23;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;11:24;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;11:30;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;11:32;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;11:36;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;11:37;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;11:42;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;11:43;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;11:44;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;11:45;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;11:46;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;11:54;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;12:02;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;12:03;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;12:05;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;12:10;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;12:11;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;12:17;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;12:18;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;12:19;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;12:26;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;12:27;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;12:28;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;12:29;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;12:30;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;12:31;CALL; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;12:32;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;12:34;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;12:35;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;12:40;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;12:41;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;12:43;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;12:47;CALL; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;12:48;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;12:51;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;12:52;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;12:53;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 33%
M1;EURUSD-OTC;12:54;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;12:55;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;12:56;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;12:57;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;13:00;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 100%
M1;EURUSD-OTC;13:01;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 67%
M1;EURUSD-OTC;13:02;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 56%
M1;EURUSD-OTC;13:03;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;13:16;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;13:18;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;13:19;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;13:21;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;13:31;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;13:32;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;13:35;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 89%
M1;EURUSD-OTC;13:36;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;13:39;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;13:40;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;13:41;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;13:45;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;13:46;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;13:48;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;13:50;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
